"f_1110-1"	"Points:0"	"Points:1"	"Points:2"
-0.49556	-0.4006	-0.058854	0
-0.17903	-0.25996	-0.074434	0
-0.5262	-0.36009	-0.016999	0
-0.49703	-0.33637	0.053225	0
-0.49342	-0.33476	-0.024913	0
-0.47331	-0.41035	0.0018871	0
-0.41718	-0.30796	-0.073374	0
-0.33583	-0.44786	-0.071041	0
-0.317	-0.28467	0.073135	0
-0.32082	-0.45096	-0.0066614	0
-0.42585	-0.42599	0.077829	0
-0.26312	-0.27435	-0.041288	0
-0.34966	-0.44485	-0.021036	0
-0.52517	-0.35867	0.024139	0
-0.46534	-0.41332	-0.031499	0
-0.50359	-0.39634	0.038981	0
-0.51079	-0.39188	0.072415	0
-0.49368	-0.33476	0.090345	0
-0.52424	-0.35728	0.06284	0
-0.17341	-0.47741	0.037751	0
-0.4279	-0.42538	-0.090521	0
-0.48099	-0.40725	0.02112	0
-0.50656	-0.34189	-0.089469	0
-0.41934	-0.42785	-0.043241	0
-0.51044	-0.34439	-0.075832	0
-0.26866	-0.46104	0.052544	0
-0.24743	-0.4649	-0.040908	0
-0.42187	-0.42713	-0.015578	0
-0.3767	-0.29769	-0.067495	0
-0.28092	-0.4588	0.035285	0
-0.34264	-0.44642	0.038093	0
-0.52351	-0.35612	-0.036696	0
-0.50398	-0.3402	-0.0090624	0
-0.36384	-0.44167	0.077538	0
-0.29171	-0.45675	0.089557	0
-0.34601	-0.29072	0.034426	0
-0.50857	-0.34315	-0.053581	0
-0.36821	-0.29578	0.09208	0
-0.51562	-0.3883	-0.048324	0
-0.50119	-0.39763	-0.036484	0
-0.29569	-0.45595	-0.055571	0
-0.422	-0.30932	-0.041745	0
-0.46084	-0.32144	0.073372	0
-0.26489	-0.46173	-0.009386	0
-0.17871	-0.47655	-0.089145	0
-0.49795	-0.39947	-0.018044	0
-0.52695	-0.37485	-0.0021699	0
-0.50828	-0.34285	0.0365	0
-0.52597	-0.37679	-0.075525	0
-0.52764	-0.3655	0.074408	0
-0.47056	-0.32501	-0.049016	0
-0.521	-0.3531	-0.0072963	0
-0.43333	-0.31261	-0.0039331	0
-0.45689	-0.32004	-0.019385	0
-0.1732	-0.25904	0.025904	0
-0.52791	-0.36881	-0.051121	0
-0.47203	-0.32559	-0.076712	0
-0.16691	-0.25803	-0.01524	0
-0.52409	-0.37955	0.046948	0
-0.47215	-0.32559	0.010312	0
-0.47245	-0.32567	0.020724	0
-0.38521	-0.43665	0.060923	0
-0.1923	-0.47432	-0.069499	0
-0.18693	-0.47519	0.070664	0
-0.2875	-0.45756	-0.090348	0
-0.50001	-0.3983	0.019076	0
-0.50868	-0.39333	0.090052	0
-0.38893	-0.43572	0.0075542	0
-0.52523	-0.35892	0.048403	0
-0.28135	-0.45867	-0.026676	0
-0.39637	-0.3025	0.077037	0
-0.41607	-0.42873	0.041153	0
-0.50355	-0.34014	0.0068156	0
-0.22341	-0.4691	0.010156	0
-0.41769	-0.42827	-0.07914	0
-0.50573	-0.34139	0.022531	0
-0.3687	-0.29587	-0.031257	0
-0.25012	-0.27202	0.091443	0
-0.30811	-0.28288	0.0011135	0
-0.34163	-0.28978	0.015754	0
-0.38474	-0.43681	-0.063674	0
-0.50162	-0.39744	0.05626	0
-0.40705	-0.30527	-0.091675	0
-0.2564	-0.27314	-0.023782	0
-0.16793	-0.25821	-0.044898	0
-0.16975	-0.25849	0.065048	0
-0.52631	-0.37587	0.090819	0
-0.28468	-0.45806	-0.07155	0
-0.28091	-0.45878	0.024765	0
-0.48279	-0.40655	0.038735	0
-0.25423	-0.27274	-0.0049927	0
-0.1782	-0.47662	-0.021374	0
-0.5248	-0.37857	0.014561	0
-0.35716	-0.44317	0.068263	0
-0.52794	-0.36914	-0.067847	0
-0.52817	-0.36791	0.016363	0
-0.52755	-0.3639	0.091179	0
-0.32642	-0.44981	0.017538	0
-0.42354	-0.30976	-0.023856	0
-0.33218	-0.28778	-0.01362	0
-0.35536	-0.44357	-0.080101	0
-0.36738	-0.44087	0.029928	0
-0.38031	-0.2986	0.0093555	0
-0.41857	-0.30839	0.010719	0
-0.40097	-0.30371	-0.0071365	0
-0.52327	-0.35589	-0.091749	0
-0.49973	-0.33793	-0.061675	0
-0.48944	-0.33286	-0.091471	0
-0.50958	-0.34387	0.045533	0
-0.51158	-0.39123	0.024861	0
-0.16991	-0.25853	0.041481	0
-0.4615	-0.41482	0.071225	0
-0.52772	-0.36541	-0.034231	0
-0.51464	-0.34744	0.076075	0
-0.45979	-0.41529	0.092142	0
-0.47272	-0.3258	0.09125	0
-0.26986	-0.27561	0.025763	0
